memory.max_usage_in_bytes,input_bam,guide|ref_hist,chromInfo,guide_gff,input_bam_extension,guide|ref_hist_extension,chromInfo_extension,guide_gff_extension,dbkey,rna_strandness,use_guide
806137856,620376808,0,0,0,bam,nan,nan,nan,?,nan,no
230531072,44078194,6195898,0,0,bam,gtf,nan,nan,hg19,nan,yes
986968064,665803104,40860898,0,0,bam,gtf,nan,nan,?,--fr,yes
763846656,549063701,40860898,0,0,bam,gtf,nan,nan,?,--fr,yes
915689472,604390394,40860898,0,0,bam,gtf,nan,nan,?,--fr,yes
1007034368,703553122,40860898,0,0,bam,gtf,nan,nan,?,--fr,yes
957796352,652183535,40860898,0,0,bam,gtf,nan,nan,?,--fr,yes
2104229888,1496464921,280140258,0,0,bam,gtf,nan,nan,rn6,nan,yes
1976643584,1368710142,280140258,0,0,bam,gtf,nan,nan,rn6,nan,yes
1653854208,1335048658,280140258,0,0,bam,gtf,nan,nan,rn6,nan,yes
2227195904,1901064492,280140258,0,0,bam,gtf,nan,nan,rn6,nan,yes
1780051968,1432766454,280140258,0,0,bam,gtf,nan,nan,rn6,nan,yes
1484042240,1142285053,280140258,0,0,bam,gtf,nan,nan,rn6,nan,yes
1557557248,1220103993,280140258,0,0,bam,gtf,nan,nan,rn6,nan,yes
270467072,12308,280140258,0,0,bam,gtf,nan,nan,rn6,nan,yes
1991352320,1496464921,57988337,0,0,bam,gtf,nan,nan,rn6,nan,yes
1863593984,1368710142,57988337,0,0,bam,gtf,nan,nan,rn6,nan,yes
1769832448,1335048658,57988337,0,0,bam,gtf,nan,nan,rn6,nan,yes
2398920704,1901064492,57988337,0,0,bam,gtf,nan,nan,rn6,nan,yes
1866809344,1432766454,57988337,0,0,bam,gtf,nan,nan,rn6,nan,yes
1574440960,1142285053,57988337,0,0,bam,gtf,nan,nan,rn6,nan,yes
1654099968,1220103993,57988337,0,0,bam,gtf,nan,nan,rn6,nan,yes
409071616,12308,57988337,0,0,bam,gtf,nan,nan,rn6,nan,yes
421650432,115668920,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
414633984,183642218,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
399769600,75052615,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
476438528,269732151,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
496218112,282216795,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
486395904,290966549,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
361545728,74908758,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
371490816,156325632,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
456417280,165814591,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
371609600,150074233,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
411144192,180504646,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
392118272,164677382,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
411230208,185659923,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
368840704,88207708,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
2257973248,2046401953,19047662,0,0,bam,gff3,nan,nan,?,nan,yes
848941056,546834700,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
872673280,598053288,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
694816768,480202547,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
742797312,530446730,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
322080768,106434560,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
304218112,77557547,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
288919552,75299896,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
427081728,224524410,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
524795904,329781996,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
491057152,294157377,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
321236992,101422745,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
361979904,142359489,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
422330368,138455636,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
359161856,133901326,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
378421248,156354472,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
375296000,151876917,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
366809088,148109737,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
1412079616,1208450223,0,0,0,bam,nan,nan,nan,mm10,--fr,no
1469415424,1266007038,0,0,0,bam,nan,nan,nan,mm10,--fr,no
1415745536,1213308313,0,0,0,bam,nan,nan,nan,mm10,--fr,no
1554485248,1349477114,0,0,0,bam,nan,nan,nan,mm10,--fr,no
1671364608,1468117713,0,0,0,bam,nan,nan,nan,mm10,--fr,no
1403650048,1239248748,0,0,0,bam,nan,nan,nan,mm10,--fr,no
1399947264,1198379239,0,0,0,bam,nan,nan,nan,mm10,--fr,no
1458098176,1255371358,0,0,0,bam,nan,nan,nan,mm10,--fr,no
1401446400,1202441650,0,0,0,bam,nan,nan,nan,mm10,--fr,no
1491218432,1338761298,0,0,0,bam,nan,nan,nan,mm10,--fr,no
1644314624,1455059823,0,0,0,bam,nan,nan,nan,mm10,--fr,no
1433309184,1229679924,0,0,0,bam,nan,nan,nan,mm10,--fr,no
373284864,82912993,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
385568768,91019868,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
373530624,86875010,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
401530880,135907034,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
333111296,109576064,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
400834560,105764863,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
602173440,309909641,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
768262144,462115886,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
655994880,415854428,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
338608128,120226210,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
387891200,174878685,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
394981376,173306948,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
385941504,176280494,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
419127296,206111622,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
478023680,198109112,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
424300544,201369223,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
329183232,112167721,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
303071232,80459686,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
524836864,266497506,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
